"Sr. No.","Sector","Name Of Course","Online","Duration","Required Age","Minimum Education","Requisites","Language","Required Description","For Certification Advanced Module","Video Link To Embed","Project Under Hadp","Skill Training Course","Title Of Lectures","Link Kashmiri Video","Link Urdu Video","Link Dogri Video","Link Hindi Video","Course Language"
1207,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.4.Quality control of feed",null,null,"https://www.youtube.com/watch?v=2ih7uTvRtZU","https://youtu.be/HNtLAPBC6jY","DOGRI & HINDI"
1208,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.5.Funding scheme",null,null,"https://www.youtube.com/watch?v=k22iYaWWGAg","https://youtu.be/XGxdESvxZNY","DOGRI & HINDI"
1209,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","2.Poultry Feed Manufacture","23.2.6. Business plan",null,null,"https://www.youtube.com/watch?v=ryT3flkFLz4","https://youtu.be/NdCYW_sq0Yc","DOGRI & HINDI"
1210,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.1 Introduction to layer farming",null,null,"https://www.youtube.com/watch?v=b9An1gb38vc","https://youtu.be/O049P194iOc","DOGRI & HINDI"
1211,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.2. Site selection and housing management",null,null,"https://www.youtube.com/watch?v=WiBpqvCf-E0","https://youtu.be/RQ4_L4WvJNk","DOGRI & HINDI"
1212,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.3. Equipment’s required in layer farming",null,null,"https://www.youtube.com/watch?v=UoI69THbhsg","https://youtu.be/5_9w_ksfKg0","DOGRI & HINDI"
1213,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.4. Management of layers during chick, grower and laying phase",null,null,"https://www.youtube.com/watch?v=RoqrANi2_wU","https://youtu.be/RJ-mRqEvhqs","DOGRI & HINDI"
1214,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.5. Medication and vaccination",null,null,"https://www.youtube.com/watch?v=GaRuw1pmQ-Q","https://youtu.be/Vq5P8GtZpks","DOGRI & HINDI"
1215,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.6. Nutrient requirements and feed formulation for layers",null,null,"https://www.youtube.com/watch?v=VJ9o_UJhGaE","https://youtu.be/BNsBbvbMyJE","DOGRI & HINDI"
1216,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.7 Funding scheme",null,null,"https://www.youtube.com/watch?v=ibR9oS50XiA","https://youtu.be/1nJqv8tMhTw","DOGRI & HINDI"
1217,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","3.Commercial Layer farming","23.3.8. Business plan",null,null,"https://www.youtube.com/watch?v=1PPUeFvuI30","https://youtu.be/6s06kLeBNgc","DOGRI & HINDI"
1218,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.1 Introduction and Breeds/Verities suitable for parent Stock",null,null,"https://www.youtube.com/watch?v=GJPxcCgEKTc","https://youtu.be/iPFvffq87tE","DOGRI & HINDI"
1219,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.2 Housing, feeding and light management",null,null,"https://www.youtube.com/watch?v=cHJixIQgopw","https://youtu.be/993Up1pZ9tQ","DOGRI & HINDI"
1220,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.3 Care and incubation of Hatching eggs",null,null,"https://www.youtube.com/watch?v=sqIu9lI7Lvo","https://youtu.be/NHqOnsL0xew","DOGRI & HINDI"
1221,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.4 Hatchery cleaning, disinfection and waste disposal",null,null,"https://www.youtube.com/watch?v=Z2UE3m5yrRg","https://youtu.be/UTy7Agciqig","DOGRI & HINDI"
1222,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.5 Brooding and rearing of chicks and distribution of chicks, Vaccination, medication",null,null,"https://www.youtube.com/watch?v=FOuxuerZFsc","https://youtu.be/RndmXcnT1tQ","DOGRI & HINDI"
1223,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.6 Establishment of feed mill",null,null,"https://www.youtube.com/watch?v=adrIqbwMjMI","https://youtu.be/8GMuOoCcVkk","DOGRI & HINDI"
1224,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.7 Funding scheme",null,null,"https://www.youtube.com/watch?v=GP4OjSNmEBs","https://youtu.be/wnAJ0VGP5eM","DOGRI & HINDI"
1225,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","4. Mother Units for Producing Day Old Chicks for Free range and backyard Units","23.4.8 Business plan",null,null,"https://www.youtube.com/watch?v=lciKpPXYAbw","https://youtu.be/x05VmOui8JA","DOGRI & HINDI"
1226,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","5.Free Range and Horti Poultry Production","23.5.1.Introduction to Free Range and Horti-Poultry",null,null,"https://www.youtube.com/watch?v=riyEqnXUd20","https://youtu.be/S3zsKRUu7PE","DOGRI & HINDI"
1227,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","5.Free Range and Horti Poultry Production","23.5.2. Management of free range and horti-poultry birds",null,null,"https://www.youtube.com/watch?v=jZLBuA6eyX4","https://youtu.be/CsSvM91aeTg","DOGRI & HINDI"
1228,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","5.Free Range and Horti Poultry Production","23.5.3. Health care management",null,null,"https://www.youtube.com/watch?v=e3tLmmq-7nQ","https://youtu.be/ZPreiAz8rQE","DOGRI & HINDI"
1229,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","5.Free Range and Horti Poultry Production","23.5.4.Funding scheme",null,null,"https://www.youtube.com/watch?v=ql1AP6KUum4","https://youtu.be/GppMGT3fKo4","DOGRI & HINDI"
1230,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Poultry Development","5.Free Range and Horti Poultry Production","23.5.5.Business plan",null,null,"https://www.youtube.com/watch?v=S-z86lEf6DQ","https://youtu.be/S-z86lEf6DQ","DOGRI & HINDI"
1231,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.1. Establishment of Trout Hatchery","24.1.1. An Overview of Rainbow Trout",null,null,"https://youtu.be/tKNpz043R80","https://youtu.be/NEBG-wsNtVQ","DOGRI & HINDI"
1232,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.1. Establishment of Trout Hatchery","24.1.2. Site Selection for Trout hatchery construction",null,null,"https://youtu.be/EbWLw4IBcsI","https://youtu.be/tajWLeCYefA","DOGRI & HINDI"
1233,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.1. Establishment of Trout Hatchery","24.1.3. Hatchery Production l (Pre Fertilization)",null,null,"https://youtu.be/IMF6GuM_mIA","https://youtu.be/ONq_YkZ5lSk","DOGRI & HINDI"
1234,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.1. Establishment of Trout Hatchery","24.1.4. Trout Hatchery Production ll (Post Fertilization)",null,null,"https://youtu.be/njGnknFivy0","https://youtu.be/ytl_jTAgBeg","DOGRI & HINDI"
1235,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.1. Fish Feed Ingredients",null,null,"https://youtu.be/N-VnB6I4peM","https://youtu.be/luiuNd1QkWg","DOGRI & HINDI"
1236,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.2. Fish Feed Formulation (Trout/Carp)",null,null,"https://youtu.be/QuJSLM933QY","https://youtu.be/1K7Rq_1UB7c","DOGRI & HINDI"
1237,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.3. Establishment of Fish Feed Mill (Trout/Carp)",null,null,"https://youtu.be/h9kdSU4fKdI","https://youtu.be/z8xId00ZAlQ","DOGRI & HINDI"
1238,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.4. Fish Feed Processing",null,null,"https://youtu.be/5w5UdrzEKic?si=iwr_Iuv2yraaAoPA","https://youtu.be/ZVb2bOqk7w0","DOGRI & HINDI"
1239,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.5. Different Types of Feed",null,null,"https://youtu.be/yW5xrNKr0uE","https://youtu.be/wyNxEJJkVX8","DOGRI & HINDI"
1240,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.6 Business Plan",null,null,"https://youtu.be/Yvkclp0ar9Q","https://youtu.be/b46yESf7hWo","DOGRI & HINDI"
1241,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.2. Establishment of Feed Mill under Trout & Carp culture","24.2.7 Financial Plan",null,null,"https://youtu.be/w2la0L8ebKg","https://youtu.be/al34hjRl5jo","DOGRI & HINDI"
1242,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.1. RAS and its Design",null,null,"https://youtu.be/hptZoiPym2g","https://youtu.be/SPox7lFB5h8","DOGRI & HINDI"
1243,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.2. Components of RAS",null,null,"https://youtu.be/TjIN6_K3v9w","https://youtu.be/2x51RXLwrXg","DOGRI & HINDI"
1244,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.3. Physical filtration system in RAS",null,null,"https://youtu.be/F5avNhciPa4","https://youtu.be/mDxP13NCCHU","DOGRI & HINDI"
1245,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.4. Chemical filtration system in RAS",null,null,"https://youtu.be/dGn29oDPy2Q","https://youtu.be/tZxwOIolC-k","DOGRI & HINDI"
1246,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.5. Biological filtration system and its importance",null,null,"https://youtu.be/kvBJc0zy5RE","https://youtu.be/-DvKMSKPRNU","DOGRI & HINDI"
1247,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.6. Different components of Biological filtration system in RAS",null,null,"https://youtu.be/sj5k-WGk_sk","https://youtu.be/pwPNrKK3aGQ","DOGRI & HINDI"
1248,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.7. Health Management in RAS",null,null,"https://youtu.be/UX0XczMyisc","https://youtu.be/DZSOKwlW208","DOGRI & HINDI"
1249,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.8. Business Plan",null,null,"https://youtu.be/Y0Ul4hWyP70","https://youtu.be/e5O34iROjcE","DOGRI & HINDI"
1250,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.3. Recirculatory Aquaculture System (RAS - Large, Medium, small & Mini)","24.3.9. Financial Plan",null,null,"https://youtu.be/wO77CFOst3I","https://youtu.be/00cwM56_RCs","DOGRI & HINDI"
1251,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.1. Trout status",null,null,"https://youtu.be/VQTRsqeZ7WU","https://youtu.be/tzqOf8oe1I4","DOGRI & HINDI"
1252,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.2. Raceway culture system",null,null,"https://youtu.be/mAUfAW8f_Bs","https://youtu.be/ZYYPB62-cI8","DOGRI & HINDI"
1253,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.3. Transportation of Trout",null,null,"https://youtu.be/gWYjbduWe60","https://youtu.be/nyw6Fn0Ogzc","DOGRI & HINDI"
1254,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.4. Water quality management",null,null,"https://youtu.be/qxnhnE2RENc","https://youtu.be/YWyHAvfTWt4","DOGRI & HINDI"
1255,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.5. Disease Management in Trout Culture",null,null,"https://youtu.be/vGyQRSbcgR4","https://youtu.be/31ngB5GYxFM","DOGRI & HINDI"
1256,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.6. Feeding of Trout and its management",null,null,"https://youtu.be/_HoQKlX2uXo","https://youtu.be/vGyQRSbcgR4","DOGRI & HINDI"
1257,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.7. Brood Stock Management",null,null,"https://youtu.be/WoTQtZ8G5Zc","https://youtu.be/mGVFjeQgx54","DOGRI & HINDI"
1258,"Agriculture","SKUAST Courses",null,null,null,null,null,null,null,null,null,"Technology Intervention for Fish Seed and Trout Production in UT of JK","24.4. Raceway Trout Culture","24.4.8. Economics of Trout Farming",null,null,"https://youtu.be/kj4EGWsPadI","https://youtu.be/TID4NL9NnJw","DOGRI & HINDI"
